date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:47	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2003:43:10%20GMT	https://mint-ezek.art/robots.txt		(from )
22:43:48	383913/383913	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2019:30:48%20GMT	https://mint-ezek.art/	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/index.html	(from )
22:43:48	21801/21801	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Jan%202022%2019:20:14%20GMT	https://mint-ezek.art/assets/css/xmain.css	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/assets/css/xmain.css	(from https://mint-ezek.art/)
22:43:48	11231/11231	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:18%20GMT	https://mint-ezek.art/static/avatar-91734dfb5c047d96d7607b522a6d1d27.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/avatar-91734dfb5c047d96d7607b522a6d1d27.png	(from https://mint-ezek.art/)
22:43:49	23055/23055	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2007%20Jan%202022%2018:42:18%20GMT	https://mint-ezek.art/static/music_bg-6e5613c58b85ae7c3c448d004e0c1068.svg	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/music_bg-6e5613c58b85ae7c3c448d004e0c1068.svg	(from https://mint-ezek.art/)
22:43:49	19247/19247	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:18%20GMT	https://mint-ezek.art/static/bear-b1bb1c2a3ae3ec1d0cf19ef6379a524d.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/bear-b1bb1c2a3ae3ec1d0cf19ef6379a524d.png	(from https://mint-ezek.art/)
22:43:49	25014/25014	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2007%20Jan%202022%2018:42:18%20GMT	https://mint-ezek.art/static/bearIcon-c3e1fb9fb014288f467071aea07f9b77.svg	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/bearIcon-c3e1fb9fb014288f467071aea07f9b77.svg	(from https://mint-ezek.art/)
22:43:51	229115/229115	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:18%20GMT	https://mint-ezek.art/static/contentBk-6bb669f15a5ff7437537e6481af9b19e.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/contentBk-6bb669f15a5ff7437537e6481af9b19e.png	(from https://mint-ezek.art/)
22:43:51	11254/11254	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:18%20GMT	https://mint-ezek.art/static/countDownBg-1ddcd927d79461ea666d3eb1be7d3f01.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/countDownBg-1ddcd927d79461ea666d3eb1be7d3f01.png	(from https://mint-ezek.art/)
22:43:51	72688/72688	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:18%20GMT	https://mint-ezek.art/static/borderBottom-1528d034fe6a6b210216ab4870fd8392.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/borderBottom-1528d034fe6a6b210216ab4870fd8392.png	(from https://mint-ezek.art/)
22:43:52	229494/229494	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:18%20GMT	https://mint-ezek.art/static/borderBottom@2x-95f517e71953f3b16f99ab4c473c0346.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/borderBottom@2x-95f517e71953f3b16f99ab4c473c0346.png	(from https://mint-ezek.art/)
22:43:52	82498/82498	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:20%20GMT	https://mint-ezek.art/static/countDownBg@4x-23a29e3587a66bc9ae6bf7d27ab5c7d3.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/countDownBg@4x-23a29e3587a66bc9ae6bf7d27ab5c7d3.png	(from https://mint-ezek.art/)
22:43:52	40375/40375	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2007%20Jan%202022%2018:42:20%20GMT	https://mint-ezek.art/static/left-a3373f6f07397f7db8e3732d1a5dc3ab.svg	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/left-a3373f6f07397f7db8e3732d1a5dc3ab.svg	(from https://mint-ezek.art/)
22:43:54	40346/40346	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2007%20Jan%202022%2018:42:20%20GMT	https://mint-ezek.art/static/right-b6b13bc701416af252046c46084ae349.svg	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/right-b6b13bc701416af252046c46084ae349.svg	(from https://mint-ezek.art/)
22:43:54	1965/1965	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:20%20GMT	https://mint-ezek.art/favicon-32x32.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/favicon-32x32.png	(from https://mint-ezek.art/)
22:43:54	317711/317711	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:20%20GMT	https://mint-ezek.art/static/pcFooterBear-af7549b79d7e0ddff8ce0806a0201544.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/pcFooterBear-af7549b79d7e0ddff8ce0806a0201544.png	(from https://mint-ezek.art/)
22:43:54	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2003:43:18%20GMT	https://mint-ezek.art/icons/icon-48x48.png?v=23b54de7441da6a686327140f399b0e1	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/icons/icon-48x4811a9.png	(from https://mint-ezek.art/)
22:43:55	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2003:43:18%20GMT	https://mint-ezek.art/icons/icon-72x72.png?v=23b54de7441da6a686327140f399b0e1	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/icons/icon-72x7211a9.png	(from https://mint-ezek.art/)
22:43:55	741985/741985	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:20%20GMT	https://mint-ezek.art/static/bannerBackgroundMobile@2x-037a9393e831c2753692544dfe649e1b.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/bannerBackgroundMobile@2x-037a9393e831c2753692544dfe649e1b.png	(from https://mint-ezek.art/)
22:43:55	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2003:43:18%20GMT	https://mint-ezek.art/icons/icon-96x96.png?v=23b54de7441da6a686327140f399b0e1	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/icons/icon-96x9611a9.png	(from https://mint-ezek.art/)
22:43:55	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2003:43:18%20GMT	https://mint-ezek.art/icons/icon-144x144.png?v=23b54de7441da6a686327140f399b0e1	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/icons/icon-144x14411a9.png	(from https://mint-ezek.art/)
22:43:55	318271/318271	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jan%202022%2018:42:20%20GMT	https://mint-ezek.art/static/bannerBackgroundMobile-e8895dee5322c7ec210ab2f6b0267201.png	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/static/bannerBackgroundMobile-e8895dee5322c7ec210ab2f6b0267201.png	(from https://mint-ezek.art/)
22:43:55	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2003:43:18%20GMT	https://mint-ezek.art/icons/icon-192x192.png?v=23b54de7441da6a686327140f399b0e1	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/icons/icon-192x19211a9.png	(from https://mint-ezek.art/)
22:43:55	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2003:43:19%20GMT	https://mint-ezek.art/icons/icon-256x256.png?v=23b54de7441da6a686327140f399b0e1	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/icons/icon-256x25611a9.png	(from https://mint-ezek.art/)
22:43:56	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2003:43:19%20GMT	https://mint-ezek.art/icons/icon-384x384.png?v=23b54de7441da6a686327140f399b0e1	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/icons/icon-384x38411a9.png	(from https://mint-ezek.art/)
22:43:56	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2003:43:19%20GMT	https://mint-ezek.art/icons/icon-512x512.png?v=23b54de7441da6a686327140f399b0e1	C:/Users/TungPro/Desktop/copyweb/copyweb11/web11/mint-ezek.art/icons/icon-512x51211a9.png	(from https://mint-ezek.art/)
